subject,model,eval_type,region,model_layer,model_layer_index,score,train_score,max_model_layer_index,selected_layer_fraction,model_source,comparison_group,result_model,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_expertise,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
sub-07,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,otc,BatchNorm2d-51,70,0.2964538633823395,0.3346319496631622,78,0.8974358974358975,,,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,DeepClusterV2-2x224+6x96,Contrastive,
sub-07,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,otc,Conv2d-49,63,0.4766758680343628,0.3974177837371826,78,0.8076923076923077,,,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,DeepClusterV2-2x224+6x96,Contrastive,
sub-07,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,otc,Conv2d-43,46,0.1508532762527465,0.2464259713888168,78,0.5897435897435898,,,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,JigSaw-Goyal19,Non-Contrastive,
sub-07,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,otc,ReLU-36,36,0.393757700920105,0.3249811828136444,78,0.4615384615384615,,,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,JigSaw-Goyal19,Non-Contrastive,
sub-07,ResNet50-JigSaw-P100_selfsupervised,crsa,otc,BatchNorm2d-42,44,0.2785702347755432,0.3495828211307525,78,0.5641025641025641,,,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,JigSaw-P100,Non-Contrastive,
sub-07,ResNet50-JigSaw-P100_selfsupervised,wrsa,otc,ReLU-39,45,0.350992888212204,0.3734835684299469,78,0.5769230769230769,,,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,JigSaw-P100,Non-Contrastive,
sub-07,ResNet50-MoCoV2-BS256_selfsupervised,crsa,otc,BatchNorm2d-48,61,0.2135837525129318,0.2351453751325607,78,0.782051282051282,,,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,MoCoV2-BS256,Contrastive,
sub-07,ResNet50-MoCoV2-BS256_selfsupervised,wrsa,otc,Conv2d-52,72,0.4694389104843139,0.4064231514930725,78,0.9230769230769232,,,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,MoCoV2-BS256,Contrastive,
sub-07,ResNet50-PIRL_selfsupervised,crsa,otc,AdaptiveAvgPool2d-1,78,0.2287254929542541,0.2637314796447754,78,1.0,,,ResNet50-PIRL_selfsupervised,ResNet50-PIRL,ResNet50-PIRL_selfsupervised,ResNet50-PIRL,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,PIRL,Contrastive,
sub-07,ResNet50-PIRL_selfsupervised,wrsa,otc,Conv2d-49,63,0.4545582234859466,0.3855979144573211,78,0.8076923076923077,,,ResNet50-PIRL_selfsupervised,ResNet50-PIRL,ResNet50-PIRL_selfsupervised,ResNet50-PIRL,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,PIRL,Contrastive,
sub-07,ResNet50-RotNet_selfsupervised,crsa,otc,Conv2d-47,57,0.0955873057246208,0.195923164486885,78,0.7307692307692307,,,ResNet50-RotNet_selfsupervised,ResNet50-RotNet,ResNet50-RotNet_selfsupervised,ResNet50-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,RotNet,Non-Contrastive,
sub-07,ResNet50-RotNet_selfsupervised,wrsa,otc,ReLU-49,77,0.3518615067005157,0.3447778224945068,78,0.9871794871794872,,,ResNet50-RotNet_selfsupervised,ResNet50-RotNet,ResNet50-RotNet_selfsupervised,ResNet50-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,RotNet,Non-Contrastive,
sub-07,ResNet50-SimCLR_selfsupervised,crsa,otc,BatchNorm2d-48,61,0.2222936898469925,0.2869036793708801,78,0.782051282051282,,,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,SimCLR,Contrastive,
sub-07,ResNet50-SimCLR_selfsupervised,wrsa,otc,Conv2d-52,72,0.4995286464691162,0.4031035006046295,78,0.9230769230769232,,,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,SimCLR,Contrastive,
sub-07,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,crsa,otc,BatchNorm2d-48,61,0.1968655884265899,0.2569869756698608,78,0.782051282051282,,,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,SwAV-BS4096-2x224+6x96,Contrastive,
sub-07,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,wrsa,otc,Conv2d-52,72,0.4877992272377014,0.3979045152664184,78,0.9230769230769232,,,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,,,,,,,SwAV-BS4096-2x224+6x96,Contrastive,
sub-07,ViT-B-CLIP_slip,crsa,otc,Identity-54,5,0.2056429982185363,0.247657835483551,68,0.0735294117647058,,,ViT-B-CLIP_slip,ViT-B-CLIP,ViT-B-CLIP_slip,ViT-B-CLIP,slip,YFCC15M,ViT-B,Transformer,Vision-Language,,CLIP,,,,,,,
sub-07,ViT-B-CLIP_slip,wrsa,otc,Identity-54,5,0.4474001228809356,0.3710103631019592,68,0.0735294117647058,,,ViT-B-CLIP_slip,ViT-B-CLIP,ViT-B-CLIP_slip,ViT-B-CLIP,slip,YFCC15M,ViT-B,Transformer,Vision-Language,,CLIP,,,,,,,
sub-07,ViT-B-SLIP_slip,crsa,otc,Identity-94,60,0.1881798058748245,0.2200535535812378,68,0.8823529411764706,,,ViT-B-SLIP_slip,ViT-B-SLIP,ViT-B-SLIP_slip,ViT-B-SLIP,slip,YFCC15M,ViT-B,Transformer,Vision-Language,,SLIP,,,,,,,
