model,model_class,train_type,train_data,model_source,task_cluster,comparison_group
tf_efficientnet_b1_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b1_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b1_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b2_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b2_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b2_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b3_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b3_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b3_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b4_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b4_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b4_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b5_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b5_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b5_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b6_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b6_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b6_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
tf_efficientnet_b7_ap_adversarial,Convolutional,adversarial,imagenet,timm,Semantic,other
tf_efficientnet_b7_classification,Convolutional,classification,imagenet,timm,Semantic,arch_cnn_in1k
tf_efficientnet_b7_ns_noisy_student,Convolutional,noisy_student,imagenet,timm,Semantic,other
timm_beit_base_patch16_224_in22k_ft_in22k_in1k,Transformer,bert_pretraining,imagenet21k,timm,Self-Supervised,other
