feature_stem,deepnsd_model_string,feature_file,h5_exists,metric,nsd_consensus_layer,present_in_current_sampled_laion_h5,n_current_sampled_layers,subject_votes_for_consensus,n_subjects
keypoints3d_taskonomy,keypoints3d_taskonomy,keypoints3d_taskonomy.h5,True,crsa,Conv2d-36,True,11,4,4
keypoints3d_taskonomy,keypoints3d_taskonomy,keypoints3d_taskonomy.h5,True,srpr,Conv2d-38,False,11,1,4
keypoints3d_taskonomy,keypoints3d_taskonomy,keypoints3d_taskonomy.h5,True,wrsa,ReLU-37,False,11,2,4
nonfixated_pose_taskonomy,nonfixated_pose_taskonomy,nonfixated_pose_taskonomy.h5,True,crsa,ReLU-37,False,11,3,4
nonfixated_pose_taskonomy,nonfixated_pose_taskonomy,nonfixated_pose_taskonomy.h5,True,srpr,ReLU-26,False,11,3,4
nonfixated_pose_taskonomy,nonfixated_pose_taskonomy,nonfixated_pose_taskonomy.h5,True,wrsa,BatchNorm2d-47,False,11,3,4
normal_taskonomy,normal_taskonomy,normal_taskonomy.h5,True,crsa,Conv2d-36,True,11,4,4
normal_taskonomy,normal_taskonomy,normal_taskonomy.h5,True,srpr,BatchNorm2d-36,False,11,3,4
normal_taskonomy,normal_taskonomy,normal_taskonomy.h5,True,wrsa,BatchNorm2d-44,False,11,1,4
point_matching_taskonomy,point_matching_taskonomy,point_matching_taskonomy.h5,True,crsa,BatchNorm2d-30,False,11,2,4
point_matching_taskonomy,point_matching_taskonomy,point_matching_taskonomy.h5,True,srpr,ReLU-31,False,11,4,4
point_matching_taskonomy,point_matching_taskonomy,point_matching_taskonomy.h5,True,wrsa,ReLU-31,False,11,3,4
